GEOMETRY v06: 29976 meshes; SHA256(names/world vertices at1micrometre)=523cd725f671151f70fb591add45a53875bbd80cb619a85760088230495d1416; loaded C:\Users\lukap\Documents\GitHub\craftbot\experiments\17_Arrhenius_Laboratories\Astra\preflight_v06.blend
StairRim_E_2: StairRim_E_2_67 -> Beam_3_10_1_1_18 -> Beam_3_10_1_1_17 -> Beam_3_10_1_1_0 -> Column_110 -> GradeBeam_10_1_1_0 -> FootingPad_110
StairRim_E_3: StairRim_E_3_67 -> Beam_4_10_1_1_18 -> Beam_4_10_1_1_17 -> Beam_4_10_1_1_0 -> Column_110 -> GradeBeam_10_1_1_0 -> FootingPad_110
StairRim_N_0: StairRim_N_0_59 -> Beam_1_18_0_3_25 -> Beam_1_18_0_3_24 -> Beam_1_18_0_3_23 -> Beam_1_18_0_3_0 -> Column_78 -> GradeBeam_18_0_3_0 -> FootingPad_123
StairRim_N_1: StairRim_N_1_59 -> Beam_2_18_0_3_25 -> Beam_2_18_0_3_24 -> Beam_2_18_0_3_23 -> Beam_2_18_0_3_0 -> Column_78 -> GradeBeam_18_0_3_0 -> FootingPad_123
StairRim_N_2: StairRim_N_2_59 -> Beam_3_18_0_3_25 -> Beam_3_18_0_3_24 -> Beam_3_18_0_3_23 -> Beam_3_18_0_3_0 -> Column_78 -> GradeBeam_18_0_3_0 -> FootingPad_123
StairRim_N_3: StairRim_N_3_59 -> Beam_4_18_0_3_25 -> Beam_4_18_0_3_24 -> Beam_4_18_0_3_23 -> Beam_4_18_0_3_0 -> Column_78 -> GradeBeam_18_0_3_0 -> FootingPad_123
StairRim_S_0: StairRim_S_0_20 -> Beam_1_2_0_4_25 -> Beam_1_2_0_4_0 -> Column_62 -> GradeBeam_2_0_3_0 -> FootingPad_122
StairRim_S_1: StairRim_S_1_20 -> Beam_2_2_0_4_25 -> Beam_2_2_0_4_0 -> Column_62 -> GradeBeam_2_0_3_0 -> FootingPad_122
StairRim_S_2: StairRim_S_2_20 -> Beam_3_2_0_4_25 -> Beam_3_2_0_4_0 -> Column_62 -> GradeBeam_2_0_3_0 -> FootingPad_122
StairRim_S_3: StairRim_S_3_20 -> Beam_4_2_0_4_25 -> Beam_4_2_0_4_0 -> Column_62 -> GradeBeam_2_0_3_0 -> FootingPad_122
StairRim_W_0: StairRim_W_0_67 -> Beam_1_10_0_0_13 -> Beam_1_10_0_0_12 -> Beam_1_10_0_0_0 -> Column_30 -> GradeBeam_10_0_0_0 -> FootingPad_10
StairRim_W_1: StairRim_W_1_67 -> Beam_2_10_0_0_13 -> Beam_2_10_0_0_12 -> Beam_2_10_0_0_0 -> Column_30 -> GradeBeam_10_0_0_0 -> FootingPad_10
StairRim_W_2: StairRim_W_2_67 -> Beam_3_10_0_0_13 -> Beam_3_10_0_0_12 -> Beam_3_10_0_0_0 -> Column_30 -> GradeBeam_10_0_0_0 -> FootingPad_10
StairRim_W_3: StairRim_W_3_67 -> Beam_4_10_0_0_13 -> Beam_4_10_0_0_12 -> Beam_4_10_0_0_0 -> Column_30 -> GradeBeam_10_0_0_0 -> FootingPad_10

